doi,pmid,e_pub_year
10.1007/s00701-017-3397-4,29224085,2017
10.1016/j.eplepsyres.2017.11.018,29223779,2017
10.1016/j.tranon.2017.10.003,29223109,2017
10.1007/s00701-017-3416-5,29222590,2017
10.1038/s41598-017-17595-5,29222456,2017
10.1016/j.jdent.2017.12.002,29221956,2017
10.1016/j.nmd.2017.09.016,29221629,2017
10.1016/j.psychres.2017.11.068,29220684,2017
10.1111/apa.14182,29220099,2017
10.1111/pedi.12618,29218837,2017
10.1111/pedi.12610,29218766,2017
10.1007/s00464-017-5978-y,29218670,2017
10.1007/s00277-017-3196-2,29218389,2017
10.1055/s-0037-1608761,29216651,2017
10.1371/journal.pbio.2002940,29216180,2017
10.1097/BRS.0000000000002518,29215499,2017
10.1038/s41598-017-17532-6,29215063,2017
10.1007/s00406-017-0859-x,29214483,2017
10.1007/s00701-017-3417-4,29214399,2017
10.1007/s00228-017-2385-1,29214381,2017
10.1155/2017/8327980,29214177,2017
10.1007/s40629-017-0042-y,29214141,2017
10.1186/s13601-017-0185-4,29214013,2017
10.15252/embj.201797212,29212816,2017
10.1186/s12920-017-0308-8,29212506,2017
10.1160/TH17-06-0434,29212130,2017
10.1160/TH17-04-0280,29212124,2017
10.1160/TH17-05-0341,29212122,2017
10.1055/s-0043-117183,29212098,2017
10.1159/000482004,29212079,2017
10.1371/journal.pone.0189016,29211788,2017
10.1002/ehf2.12227,29210202,2017
10.1007/s00402-017-2855-z,29209793,2017
10.1007/s13167-017-0120-8,29209434,2017
10.1038/nrgastro.2017.166,29209047,2017
10.1038/s41391-017-0011-z,29209003,2017
10.1038/s41598-017-17288-z,29208929,2017
10.1158/1078-0432.CCR-17-1756,29208671,2017
10.1016/j.jaci.2017.10.035,29208545,2017
10.1055/s-0037-1608657,29207418,2017
10.1016/j.ajp.2017.11.031,29207317,2017
10.1111/joic.12472,29205492,2017
10.1002/sim.7531,29205425,2017
10.1111/all.13319,29205393,2017
10.1002/eji.201747187,29205338,2017
10.1111/ane.12881,29205262,2017
10.1007/s00345-017-2145-y,29204705,2017
10.1007/s00484-017-1485-z,29204686,2017
10.1016/j.nicl.2017.11.020,29204342,2017
10.1038/s41443-017-0005-3,29203844,2017
10.1016/j.cbi.2017.12.002,29203372,2017
10.1016/j.diabres.2017.11.032,29203253,2017
10.1016/j.neurobiolaging.2017.10.023,29203090,2017
10.1186/s12883-017-0989-9,29202730,2017
10.1186/s12876-017-0684-8,29202711,2017
10.1016/j.gaitpost.2017.11.023,29202357,2017
10.1016/j.coi.2017.11.002,29202328,2017
10.1016/S2213-8587(17)30400-X,29199116,2017
10.1016/j.neuroscience.2017.11.034,29199069,2017
10.1016/j.jpain.2017.11.005,29198932,2017
10.1016/j.urolonc.2017.11.001,29198908,2017
10.1016/j.jcms.2017.11.002,29198578,2017
10.1017/S1047951117002311,29198223,2017
10.1159/000485600,29197870,2017
10.1111/jcpp.12843,29197086,2017
10.1038/s41598-017-16918-w,29196639,2017
10.1016/j.it.2017.10.005,29196147,2017
10.1016/j.ejca.2017.10.028,29195117,2017
10.1111/jch.13138,29194933,2017
10.1113/JP274885,29194628,2018
10.1371/journal.pone.0187859,29194437,2017
10.1111/apha.13006,29193764,2017
10.1111/ddg.13372,29193659,2017
10.1111/joic.12457,29193333,2017
10.1111/bjh.14965,29193007,2017
10.1177/1545968317744275,29192534,2017
10.2967/jnumed.117.199760,29191855,2017
10.1161/STROKEAHA.117.019322,29191849,2017
10.1136/annrheumdis-2017-211649,29191820,2017
10.1161/JAHA.117.006798,29191809,2017
10.1016/j.diagmicrobio.2017.10.016,29191466,2017
10.1186/s12874-017-0429-y,29191176,2017
10.1055/s-0043-119894,29190854,2017
10.1371/journal.pone.0188292,29190694,2017
10.1007/s11136-017-1753-8,29189988,2017
10.1055/s-0043-117547,29186746,2017
10.1055/s-0043-116856,29186643,2017
10.1038/mi.2017.98,29186109,2017
10.1038/s41598-017-15851-2,29185443,2017
10.1007/s00417-017-3845-0,29185100,2017
10.1007/s00417-017-3852-1,29185099,2017
10.1007/s00213-017-4784-5,29185022,2017
10.3389/fneur.2017.00606,29184532,2017
10.1016/j.jaut.2017.11.005,29183643,2017
10.1177/2047487317744364,29183152,2017
10.12688/f1000research.12537.2,29152223,2017
10.1055/s-0043-120906,29183102,2017
10.1159/000484140,29183010,2017
10.3390/ijms18122560,29182577,2017
10.1007/s10654-017-0333-0,29181692,2017
10.3389/fmicb.2017.02218,29180990,2017
10.1016/j.bbr.2017.11.022,29180137,2017
10.1016/j.bbr.2017.11.025,29180135,2017
10.1016/j.radonc.2017.10.016,29180076,2017
10.1016/j.pvr.2017.06.002,29179867,2017
10.1186/s40478-017-0487-8,29178933,2017
10.1186/s12876-017-0675-9,29178842,2017
10.1002/jbio.201700169,29178669,2018
10.1111/iwj.12854,29178544,2017
10.1007/s00221-017-5121-2,29177817,2017
10.1007/s10549-017-4581-1,29177689,2017
10.1371/journal.pone.0188355,29176884,2017
10.1038/s41598-017-16433-y,29176580,2017
10.1136/jmedgenet-2017-105020,29175836,2017
10.1016/j.spinee.2017.11.005,29174457,2017
10.1016/j.jelectrocard.2017.11.003,29174097,2017
10.1080/21645515.2017.1407896,29172992,2017
10.1055/s-0043-121890,29172224,2017
10.1055/s-0043-121029,29172220,2017
10.1080/13607863.2017.1396577,29171956,2017
10.1111/bjd.16140,29171861,2018
10.1007/s10554-017-1280-2,29170840,2017
10.1038/s41598-017-15560-w,29170507,2017
10.1016/j.cgh.2017.11.028,29170098,2017
10.1016/j.jsbmb.2017.11.008,29169993,2017
10.1016/j.urolonc.2017.10.027,29169846,2017
10.1016/j.arcped.2017.09.023,29169712,2017
10.1016/j.pscychresns.2017.11.005,29169660,2017
10.1080/14728222.2018.1409724,29168929,2017
10.1007/s11046-017-0229-2,29168073,2017
10.1152/ajplung.00223.2017,29167126,2017
10.1186/s13075-017-1462-2,29166924,2017
10.1055/s-0043-119897,29166688,2017
10.1002/mds.27238,29165837,2017
10.1007/s00436-017-5681-x,29164321,2017
10.18632/oncotarget.19011,29163840,2017
10.18632/oncotarget.21194,29163802,2017
10.3389/fimmu.2017.01441,29163514,2017
10.3389/fphys.2017.00872,29163214,2017
10.3389/fnagi.2017.00346,29163129,2017
10.1038/s41598-017-16202-x,29162917,2017
10.1177/1534735417740629,29161912,2017
10.1016/j.jad.2017.11.024,29161674,2017
10.1080/23279095.2017.1392962,29161150,2017
10.3390/nu9111268,29160841,2017
10.1038/nature24676,29160304,2017
10.1177/0271678X17743876,29160120,2017
10.23736/S0026-4725.17.04564-9,29160045,2017
10.1002/ajmg.b.32593,29159863,2017
10.1007/s11262-017-1522-3,29159494,2017
10.1038/s41467-017-01737-4,29158499,2017
10.1016/j.iccl.2017.08.008,29157524,2017
10.21037/apm.2017.07.05,29156896,2017
10.18632/oncotarget.19076,29156716,2017
10.18632/oncotarget.20950,29156678,2017
10.1371/journal.pone.0188251,29155867,2017
10.1371/journal.pntd.0006094,29155816,2017
10.1371/journal.pcbi.1005856,29155808,2017
10.1016/j.ijsu.2017.11.028,29155250,2017
10.1016/j.mad.2017.11.011,29155056,2017
10.1016/j.ejmg.2017.11.004,29155047,2017
10.1016/j.ajog.2017.11.570,29155036,2017
10.1002/chem.201704672,29154477,2017
10.1002/ehf2.12184,29154433,2017
10.1038/npp.2017.282,29154368,2017
10.1016/j.preghy.2017.06.002,29153696,2017
10.1016/j.jcmg.2017.07.029,29153567,2017
10.1126/sciadv.aao4966,29152574,2017
10.18632/oncotarget.21193,29152118,2017
10.1186/s13099-017-0211-z,29151895,2017
10.1007/s00134-017-4992-9,29151124,2017
10.1136/bmjopen-2017-018560,29151054,2017
10.1136/neurintsurg-2017-013454,29151041,2017
10.1111/all.13357,29150848,2018
10.1007/s00399-017-0532-0,29150698,2017
10.1111/cen.13518,29149458,2017
10.1002/ejhf.1059,29148148,2017
10.5301/ejo.5001072,29148032,2017
10.1136/bjophthalmol-2017-311254,29146755,2017
10.1016/j.bbalip.2017.11.005,29146531,2017
10.1053/j.gastro.2017.11.007,29146520,2017
10.1016/j.molmet.2017.10.015,29146410,2017
10.1055/s-0043-118791,29145686,2017
10.1038/nature24294,29144447,2017
10.1007/s00296-017-3870-7,29143933,2017
10.1007/s00432-017-2544-x,29143871,2017
10.1038/nature24628,29143823,2017
10.1111/ane.12865,29143313,2017
10.1007/s12253-017-0360-x,29143233,2017
10.1007/s00702-017-1812-x,29143216,2017
10.1007/s00101-017-0383-4,29143074,2017
10.3899/jrheum.170486,29142036,2017
10.15252/embr.201744201,29141987,2017
10.1016/j.msard.2017.09.020,29141808,2017
10.1371/journal.pone.0187735,29140992,2017
10.1371/journal.pone.0186946,29140982,2017
10.1002/ejp.1145,29139193,2017
10.1007/s00038-017-1056-4,29138894,2017
10.1155/2017/1092015,29138670,2017
10.1038/s41598-017-15872-x,29138510,2017
10.1038/s41598-017-15860-1,29138506,2017
10.1128/mBio.01390-17,29138300,2017
10.1373/clinchem.2017.275172,29138271,2017
10.1016/j.jcms.2017.10.010,29137851,2017
10.1186/s12879-017-2815-9,29137604,2017
10.6002/ect.2016.0296,29137590,2017
10.1007/s11302-017-9590-3,29134411,2017
10.1007/s00392-017-1179-x,29134346,2017
10.1016/j.jhep.2017.11.009,29133244,2017
10.1016/j.ijbiomac.2017.11.055,29133103,2017
10.1016/j.preghy.2017.11.001,29133069,2017
10.1016/S1470-2045(17)30696-4,29133014,2017
10.1016/j.jaci.2017.10.018,29132956,2017
10.1016/j.jbiomech.2017.10.032,29132725,2017
10.1186/s13054-017-1851-6,29132435,2017
10.1186/s12877-017-0655-5,29132305,2017
10.1186/s12859-017-1904-5,29132296,2017
10.1371/journal.pone.0187700,29131833,2017
10.1159/000480357,29131024,2017
10.1002/ccd.27412,29130613,2017
10.1002/ana.25095,29130551,2017
10.1111/all.13352,29130488,2017
10.1016/j.kint.2017.08.029,29129401,2017
10.1007/s12079-017-0427-1,29129025,2017
10.1016/j.breast.2017.11.002,29128582,2017
10.1016/j.jaip.2017.10.001,29128337,2017
10.1007/s00228-017-2362-8,29127458,2017
10.1161/STROKEAHA.117.018377,29127269,2017
10.1016/j.jviromet.2017.11.001,29126838,2017
10.1186/s12877-017-0633-y,29126383,2017
10.1080/14787210.2017.1404451,29125385,2017
10.1021/acs.analchem.7b02819,29124930,2017
10.1007/s00296-017-3874-3,29124397,2017
10.1007/s00381-017-3654-0,29124391,2017
10.1007/s00281-017-0658-5,29124320,2017
10.1007/s00216-017-0683-1,29124306,2017
10.3389/fimmu.2017.01371,29123521,2017
10.1016/j.dental.2017.10.008,29122237,2017
10.1521/pedi_2017_31_331,29120280,2017
10.1080/03007995.2017.1402754,29119837,2017
10.2196/jmir.7068,29117927,2017
10.3390/ijms18112371,29117120,2017
10.1038/emi.2017.87,29116222,2017
10.1111/ejh.12994,29114972,2017
10.1055/s-0037-1603813,29114633,2017
10.3389/fphys.2017.00813,29114229,2017
10.1161/STROKEAHA.117.018796,29114090,2017
10.1523/JNEUROSCI.3088-16.2017,29114072,2017
10.1016/j.acvd.2017.07.001,29113786,2017
10.3390/s17112548,29113084,2017
10.1055/s-0043-121345,29113008,2017
10.1371/journal.pone.0187615,29112953,2017
10.1111/cpr.12387,29110360,2017
10.1038/s41598-017-14769-z,29109465,2017
10.1523/JNEUROSCI.0986-17.2017,29109239,2017
10.1523/JNEUROSCI.1395-17.2017,29109234,2017
10.4049/jimmunol.1602080,29109124,2017
10.1016/j.prp.2017.09.021,29108919,2017
10.1016/j.jbiomech.2017.10.018,29108851,2017
10.18632/oncotarget.19218,29108353,2017
10.18632/oncotarget.17476,29108306,2017
10.1055/s-0043-120241,29108084,2017
10.1371/journal.pone.0187570,29107992,2017
10.1016/j.ygyno.2017.10.019,29107348,2017
10.1111/echo.13745,29106754,2017
10.1038/nbt.4004,29106410,2017
10.1080/17453674.2017.1398012,29105532,2017
10.1155/2017/5216562,29104871,2017
10.1016/j.contraception.2017.10.011,29104024,2017
10.1016/j.devcel.2017.10.013,29103955,2017
10.1016/j.radonc.2017.10.025,29103826,2017
10.1016/j.pjnns.2017.10.004,29103634,2017
10.1016/j.amjcard.2017.08.049,29103606,2017
10.1007/s00467-017-3831-0,29103152,2017
10.1016/j.jpsychires.2017.10.002,29101798,2017
10.1007/s00399-017-0534-y,29101545,2017
10.1007/s10974-017-9486-4,29101517,2017
10.1158/1078-0432.CCR-17-2180,29101303,2017
10.1136/jnnp-2017-316822,29101253,2017
10.3324/haematol.2017.168716,29101205,2017
10.1016/j.neuroimage.2017.10.031,29100939,2017
10.1016/j.arthro.2017.08.234,29100772,2017
10.18632/oncotarget.17726,29100455,2017
10.18632/oncotarget.18272,29100436,2017
10.18632/oncotarget.20430,29100381,2017
10.18632/oncotarget.18635,29100289,2017
10.1016/j.breast.2017.10.002,29100043,2017
10.3390/nu9111210,29099750,2017
10.1177/0271678X17740091,29099662,2017
10.1038/nrdp.2017.81,29099093,2017
10.1177/0748730417728663,29098954,2017
10.1007/s11046-017-0205-x,29098487,2017
10.1007/s00415-017-8656-z,29098417,2017
10.1038/s41598-017-15058-5,29097777,2017
10.1016/j.ijid.2017.10.008,29097248,2017
10.1016/j.ijmm.2017.10.004,29097162,2017
10.1016/j.atherosclerosissup.2017.05.015,29096864,2017
10.1016/j.atherosclerosissup.2017.05.018,29096838,2017
10.1016/j.atherosclerosissup.2017.05.007,29096834,2017
10.1016/j.colsurfb.2017.10.050,29096369,2017
10.1016/j.jcrc.2017.10.033,29096229,2017
10.1016/j.clinph.2017.09.108,29096210,2017
10.1016/j.ejca.2017.09.035,29096157,2017
10.1002/mrm.26983,29096037,2017
10.2217/nnm-2017-0206,29094654,2017
10.1212/WNL.0000000000004681,29093070,2017
10.1016/j.ijcard.2017.10.048,29092757,2017
10.1200/JCO.2017.74.7162,29091516,2017
10.1111/pace.13229,29090490,2017
10.1007/s00277-017-3150-3,29090343,2017
10.18632/oncotarget.20507,29088846,2017
10.1089/jwh.2017.6451,29087803,2017
10.1007/s40292-017-0239-7,29086364,2017
10.1186/s10194-017-0815-1,29086160,2017
10.3205/zma001122,29085889,2017
10.3205/zma001119,29085886,2017
10.3205/zma001116,29085883,2017
10.3205/zma001115,29085882,2017
10.3389/fnmol.2017.00305,29085280,2017
10.1371/journal.pone.0187015,29084247,2017
10.1056/NEJMoa1710261,29083953,2017
10.1111/all.13345,29083482,2017
10.1038/ng.3985,29083406,2017
10.1159/000481495,29080893,2017
10.1016/j.phrs.2017.10.003,29080798,2017
10.1016/j.pharmthera.2017.10.016,29080699,2017
10.1016/j.jid.2017.09.046,29080678,2017
10.1016/j.jconrel.2017.10.033,29080666,2017
10.1016/j.psyneuen.2017.10.016,29080551,2017
10.1007/s00018-017-2695-6,29080089,2017
10.1007/s12035-017-0800-3,29079997,2017
10.1634/theoncologist.2017-0243,29079637,2017
10.1016/j.ejmg.2017.10.012,29079546,2017
10.1186/s13048-017-0365-9,29078793,2017
10.1073/pnas.1708247114,29078325,2017
10.1055/s-0043-120575,29078249,2017
10.1016/j.genhosppsych.2017.10.001,29078170,2017
10.1002/cyto.a.23279,29077263,2017
10.1007/s00464-017-5912-3,29075973,2017
10.1007/s00464-017-5893-2,29075969,2017
10.1186/s13601-017-0173-8,29075437,2017
10.3389/fimmu.2017.01256,29075256,2017
10.1038/s41598-017-14518-2,29075000,2017
10.1016/j.jaci.2017.08.037,29074455,2017
10.1016/j.clinthera.2017.09.013,29074312,2017
10.1016/j.cmi.2017.10.015,29074159,2017
10.1159/000481773,29073631,2017
10.1016/j.breast.2017.10.007,29073497,2017
10.1016/j.ghir.2017.10.004,29073481,2017
10.1002/acr.23452,29073333,2017
10.1371/journal.pone.0187119,29073237,2017
10.1371/journal.pcbi.1005757,29073203,2017
10.1089/acm.2017.0209,29072931,2017
10.1080/1744666X.2017.1398082,29072507,2017
10.1007/s00404-017-4574-7,29071577,2017
10.1152/ajprenal.00252.2017,29070570,2017
10.1136/annrheumdis-2017-211782,29070529,2017
10.1186/s12974-017-0984-5,29070051,2017
10.1177/0284185117712943,29069905,2017
10.1055/s-0043-118158,29069684,2017
10.1055/s-0043-116526,29069682,2017
10.1055/s-0043-118155,29069675,2017
10.1002/ejhf.1039,29067795,2017
10.1002/sctm.17-0144,29067781,2017
10.1111/jch.13105,29067773,2017
10.1111/pai.12830,29067711,2017
10.1016/j.trci.2017.04.004,29067340,2017
10.3389/fnins.2017.00559,29066944,2017
10.1136/bcr-2017-013315,29066632,2017
10.1136/annrheumdis-2017-211682,29066464,2017
10.1016/j.echo.2017.08.006,29066223,2017
10.1186/s13075-017-1453-3,29065931,2017
10.1186/s12889-017-4840-4,29065873,2017
10.1111/ddg.13345,29064628,2017
10.1111/ced.13254,29064119,2017
10.1111/ane.12859,29063605,2017
10.1186/s40635-017-0163-0,29063386,2017
10.1007/s11136-017-1725-z,29063350,2017
10.1007/s00404-017-4568-5,29063234,2017
10.1007/s00228-017-2351-y,29063150,2017
10.3389/fpsyg.2017.01758,29062297,2017
10.1038/nrneph.2017.145,29062141,2017
10.1038/s41598-017-14210-5,29061992,2017
10.1161/HYPERTENSIONAHA.117.10142,29061728,2017
10.1158/1078-0432.CCR-17-2410,29061642,2017
10.1136/bmjopen-2017-016109,29061605,2017
10.1016/j.radonc.2017.10.008,29061496,2017
10.1016/j.bbcan.2017.10.003,29061314,2017
10.1016/S0140-6736(17)32134-7,29061295,2017
10.1177/1591019917733733,29058984,2017
10.1111/all.13339,29058822,2017
10.1038/ng.3785,29058716,2017
10.1111/adb.12571,29058369,2017
10.1186/s13550-017-0333-9,29058157,2017
10.1007/s00467-017-3820-3,29058153,2017
10.3390/genes8100276,29057844,2017
10.1016/j.exger.2017.10.018,29056555,2017
